Nathan Peterman,2.6,,,,,,,,5.82,,,,,,,
Patrick Mahomes,10.4,,,,,,,,0,,,,,,,
Ryan Mallett,4.95,-0.38,9.86,6.6,,-0.73,,,0.45,0.7,5.84,5.82,,1.14,,
Geno Smith,4.85,3.95,20,10.77,11.91,,,,4.95,4.55,0,8.01,9.61,,,
Landry Jones,2.87,4.84,3.16,,,,,,4.34,8.07,5.34,,,,,
Nate Sudfeld,7.6,,,,,,,,0,,,,,,,
Sean Mannion,1.06,-1.3,1.2,,,,,,2.08,0,0,,,,,
Cody Kessler,0.97,8.32,,,,,,,1.23,6.05,,,,,,
AJ McCarron,1.35,,7.9,,,,,,0.55,,6.77,,,,,
Matt Cassel,1.2,3.93,8.11,7.63,12,8.91,10.7,15.27,6.4,3.71,6.6,5.09,8.45,5.91,8.17,9
Cooper Rush,0.7,,,,,,,,0.7,,,,,,,
Scott Tolzien,1.3,4.45,-0.05,,11.4,,,,0,4.35,0.25,,1.93,,,
Taylor Heinicke,0.6,,,,,,,,0,,,,,,,
Derek Anderson,0.17,3.63,0.4,10.08,0,1.15,10.79,7.26,0.39,5.01,0.59,6.13,0.14,0.65,10.73,5.87
Joe Callahan,0.4,,,,,,,,0,,,,,,,
Austin Davis,-0.1,,6.4,11.94,,,,,0,,0.99,6.8,,,,
Chase Daniel,-0.2,0.6,0,3.9,3.4,2.3,0.06,0.17,0,0,0.2,4,7.3,0,0.15,0.44
Chad Henne,-0.25,-0.2,,10.03,10.75,11.38,14.7,10.35,0.05,0,,6.64,4.57,8.63,12.69,5.5
Jake Rudock,-1,,,,,,,,0,,,,,,,
Kellen Clemens,-0.37,-0.1,3.2,0.4,8.33,0.05,0,7.1,1.19,0,3.3,0,5.4,0.05,0,0
Tyler Bray,-2,,,,,,,,0,,,,,,,
Teddy Bridgewater,-2.3,,12.4,13.52,,,,,0,,7.67,5.23,,,,
Todd Gurley,25.55,12.39,16.05,,,,,,11.69,4.68,8.7,,,,,
Le'Veon Bell,22.77,26.28,18.53,23.16,16.75,,,,8.21,9.81,7.92,9.77,5.08,,,
Alvin Kamara,19.59,,,,,,,,8.74,,,,,,,
Kareem Hunt,18.45,,,,,,,,10.99,,,,,,,
Melvin Gordon,17.91,19.28,7.74,,,,,,9.04,9.36,3.7,,,,,
Mark Ingram,17.38,14.89,16.77,14.76,5.31,6.19,9.1,,8.4,9.21,3.92,6.15,6.45,4.81,4.54,
LeSean McCoy,16.48,19.82,14.73,12.59,20.67,16.61,21.89,19.81,7.8,9.38,5.3,6.26,7.3,2.87,6.82,7.64
Carlos Hyde,14.63,14.62,11.61,5.29,,,,,6.08,8.01,9.37,2.98,,,,
Leonard Fournette,17.71,,,,,,,,6.49,,,,,,,
Christian McCaffrey,14.29,,,,,,,,5.61,,,,,,,
Duke Johnson,13.51,9.06,10.27,,,,,,5.57,4.59,5.39,,,,,
Ezekiel Elliott,20.32,21.69,,,,,,,9.22,7.52,,,,,,
Devonta Freeman,14.3,17.76,21.13,5.46,,,,,8.27,8.77,11.08,4.32,,,,
Jordan Howard,12.47,15.34,,,,,,,8.73,7.92,,,,,,
Dion Lewis,12.31,7.81,17.17,,,2.88,1.06,,8.46,2.69,6.4,,,2.3,3.04,
Lamar Miller,12.09,13.65,14.49,13.96,7.74,4.61,,,6.27,7.29,9.87,6.05,4.69,3.44,,
Jerick McKinnon,11.01,9.76,5.21,8.57,,,,,8.48,7.07,6.39,4.68,,,,
