Team,Attempts,Comp,Comp%,Yards,TDs,INTs,Att,Yard,TD,FPts - 4pt,FPts - 6pt,PosRank,Att,Yard,YPC,TD,Targets,Receptions,Yard,TD,PPR,1/2Pt,Standard,PosRank,Targets,Receptions,Rec%,Yard,TD,PPR,1/2Pt,Standard,PosRank,Targets,Receptions,Rec%,Yard,TD,PPR,1/2Pt,Standard,PosRank
LAR,31.88,19.00,59.91,222.69,1.31,0.88,2.31,12.80,0.06,13.47,16.09,18.25,10.88,56.31,6.29,0.63,3.69,2.69,28.63,0.19,16.06,14.71,13.37,21.38,8.56,4.94,59.52,69.88,0.31,13.84,11.38,8.91,29.13,4.38,2.81,65.82,39.63,0.44,9.40,7.99,6.59,18.19
MIA,32.56,21.00,65.08,235.50,1.56,0.56,3.06,16.43,0.13,16.44,19.57,14.19,12.75,46.50,3.80,0.63,4.25,3.56,26.25,0.25,15.96,14.18,12.40,16.81,6.56,4.44,71.45,65.50,0.50,14.05,11.83,9.61,28.38,5.88,4.06,70.50,46.31,0.50,11.69,9.66,7.63,13.38
MIN,32.94,19.38,57.94,197.50,0.75,0.75,2.56,12.93,0.19,11.38,12.88,20.81,11.00,42.88,3.73,0.44,4.63,2.94,20.75,0.06,12.18,10.71,9.24,27.06,6.88,3.69,55.38,60.25,0.50,12.76,10.91,9.07,32.81,5.20,3.53,73.19,31.80,0.20,7.91,6.15,4.38,22.07
NE,35.88,22.56,62.99,266.81,1.50,0.75,2.94,16.29,0.06,16.95,19.95,14.31,12.81,69.19,5.26,0.25,4.00,3.13,35.81,0.25,16.38,14.81,13.25,20.00,7.75,5.31,68.90,77.56,0.69,17.31,14.65,11.99,19.56,5.19,3.31,69.42,34.81,0.31,8.54,6.89,5.23,19.31
NO,32.13,19.44,61.15,234.00,1.38,1.19,2.69,19.86,0.19,15.07,17.82,15.88,12.38,58.06,4.53,0.25,4.75,3.50,31.75,0.19,15.11,13.36,11.61,17.44,7.63,4.94,66.52,74.13,0.50,15.36,12.89,10.43,25.38,3.69,2.50,73.65,30.06,0.31,7.38,6.13,4.88,21.19
NYG,34.69,21.50,62.86,260.00,2.00,0.75,3.00,11.80,0.13,18.63,22.63,11.81,14.44,66.44,4.59,0.38,3.63,2.88,33.00,0.19,16.19,14.76,13.32,18.00,8.50,5.31,63.67,78.56,0.63,17.01,14.36,11.70,19.63,6.07,4.07,68.61,47.07,0.73,13.04,11.01,8.97,10.53
NYJ,32.56,19.25,59.91,229.88,1.75,0.50,3.00,20.50,0.13,17.36,20.86,12.81,12.63,53.06,4.64,0.31,3.50,2.63,32.25,0.19,14.16,12.84,11.53,21.75,9.19,6.00,66.70,85.38,0.81,19.46,16.46,13.46,16.19,5.20,3.00,56.30,38.33,0.60,10.31,8.81,7.31,21.00
OAK,32.31,22.06,67.95,250.25,1.50,0.25,2.63,10.29,0.19,17.11,20.11,13.31,15.00,63.44,4.00,0.38,4.63,4.13,36.27,0.31,17.86,15.80,13.74,15.69,6.38,4.38,69.16,71.88,0.56,14.96,12.77,10.58,26.31,6.19,4.38,74.89,53.13,0.31,11.56,9.38,7.19,16.44
PHI,37.50,22.69,60.22,242.69,1.50,1.19,2.94,15.88,0.06,15.73,18.93,15.69,10.00,46.67,5.74,0.31,4.81,3.94,32.47,0.25,14.58,12.61,10.64,21.00,8.25,5.56,72.37,76.25,0.50,16.15,13.37,10.59,21.63,5.19,3.50,70.65,33.00,0.31,8.76,7.01,5.26,22.25
PIT,31.00,18.50,59.23,225.00,1.25,1.00,2.38,11.40,0.13,13.68,16.18,16.88,14.38,65.13,4.27,0.44,3.00,2.63,25.63,0.06,14.58,13.26,11.95,25.06,6.69,4.31,68.43,65.25,0.88,15.98,13.83,11.67,23.38,4.87,3.20,69.76,41.80,0.13,8.18,6.58,4.98,21.00
SEA,34.38,20.13,59.34,224.69,1.13,0.88,3.50,18.50,0.00,12.72,14.97,19.69,15.13,62.94,4.08,0.75,4.19,2.75,17.25,0.13,15.89,14.52,13.14,19.44,7.69,5.31,72.43,74.56,0.50,15.84,13.18,10.53,25.19,5.06,3.13,67.01,35.44,0.25,8.17,6.61,5.04,21.88
SF,33.13,21.06,63.85,242.38,1.69,0.63,4.13,15.13,0.25,17.86,21.23,12.50,16.38,66.69,4.01,0.44,4.13,3.06,30.69,0.19,16.43,14.89,13.36,19.50,8.25,5.44,67.96,85.69,0.63,17.63,14.91,12.19,17.94,4.50,3.06,75.83,26.06,0.44,8.17,6.64,5.11,20.88
TB,33.44,22.75,68.01,260.75,1.25,0.63,4.00,19.60,0.13,16.49,18.99,14.06,13.88,61.88,4.01,0.75,5.13,3.88,37.25,0.13,18.66,16.73,14.79,15.25,8.13,5.88,72.88,97.13,0.81,20.43,17.49,14.56,16.81,4.73,3.40,74.59,33.27,0.13,7.39,5.69,3.99,24.40
TEN,36.38,22.25,60.40,248.13,1.69,0.63,2.50,12.15,0.06,16.10,19.48,16.00,15.06,55.25,3.65,0.25,4.94,3.69,36.81,0.31,16.14,14.30,12.46,18.69,9.13,6.25,69.69,76.25,0.63,17.69,14.56,11.44,22.06,5.38,3.38,65.54,38.56,0.31,8.98,7.29,5.61,20.94
WAS,32.31,18.81,58.17,227.00,1.44,0.94,3.81,24.85,0.06,14.94,17.82,16.81,14.06,67.44,4.71,0.63,3.50,2.44,17.69,0.19,15.58,14.36,13.14,20.00,6.94,4.44,66.21,67.94,0.50,14.14,11.93,9.71,29.25,5.94,4.13,69.43,55.56,0.31,11.58,9.51,7.45,13.38
